SID;NAME;ISO;YEAR;COORDS;COORDS_MAX_WINDS;COORDS_MIN_DIST2LAND;BASIN;SUB BASIN;MONTH_START;MONTH_END;DATE_START;DATE_END;DATE_LAND_START;DATE_LAND_END;TOTAL_HOURS_EVENT;TOTAL_HOURS_IN_LAND;NATURE;GENERAL_CATEGORY;MAX_WIND;MIN_PRES;MIN_DIST2LAND;MAX_STORMSPEED;MAX_USA_SSHS;MAX_USA_SSHS_INLAND;V_LAND_KN;DISTANCE_TRACK;DISTANCE_TRACK_VINCENTY;34KN_POP;64KN_POP;96KN_POP;64KN_ASSETS;34KN_ASSETS;96KN_ASSETS;TOTAL_DAMAGE_(000$);TOTAL_DEATHS;POP_DEN_SQ_KM;RURAL_POP(%);HDI;Arable land (hectares per person);Cereal yield (kg per hectare);Food production index (2004-2006 = 100);GDP per capita (constant 2010 US$);Net flows from UN agencies US$;Life expectancy at birth, total (years);Adjusted savings: education expenditure (% of GNI);Income_level_Final;POP_MAX_34_ADJ;POP_MAX_50_ADJ;POP_MAX_64_ADJ;TOTAL_AFFECTED
1949163N07145;DELLA;JPN;1949;[(21.5, 125.424), (22.2, 125.8), (22.9089, 126.107), (23.671, 126.424), (24.4544, 126.754), (25.36, 127.22), (26.4382, 127.974), (27.6584, 128.82), (28.9141, 129.57299999999998), (30.3, 130.2), (31.9866, 130.683), (33.5183, 130.97299999999998), (34.4591, 131.061), (35.08, 131.02), (35.6732, 130.994), (37.2333, 131.767), (37.5221, 132.81799999999998), (37.8667, 134.0), (38.3484, 135.071), (38.82, 136.18), (39.1495, 137.111), (39.4667, 138.0), (40.1145, 139.30100000000002), (40.5, 139.6), (40.7787, 139.946), (41.0, 140.5), (41.2148, 141.38), (41.4, 142.5), (41.5135, 143.753), (41.7, 145.0), (42.0646, 146.003), (44.0, 149.5), (44.9544, 150.753), (46.0, 152.0)];[(27.6584, 128.82), (28.9141, 129.57299999999998), (30.3, 130.2)];[(31.9866, 130.683), (33.5183, 130.97299999999998), (41.0, 140.5), (41.2148, 141.38)];WP;WP;6;6;19/06/1949 9:00;24/06/1949 6:00;20/06/1949 15:00;23/06/1949 3:00;117;60;TS;Cat 4;116;952;0;33;3;0;99.82;3889.48064;3632.62618;;;;;;;;419;195;77.2;0.816;0.059614716;4173.5;67.79;8607.657082;0;67.66609756;2.8678781;Low;11982999.41;5803981.181;3320907.124;194046
1950241N23140;JANE;JPN;1950;[(23.8845, 139.74), (23.9335, 139.639), (23.9897, 139.43), (24.04, 139.18), (24.0868, 138.994), (24.1355, 138.813), (24.1833, 138.583), (24.24, 138.36), (24.3044, 138.224), (24.3931, 138.049), (24.5158, 137.72299999999998), (24.66, 137.34), (24.805999999999997, 136.994), (24.96, 136.66), (25.1065, 136.33), (25.28, 136.02), (25.5061, 135.739), (25.7529, 135.466), (25.9612, 135.183), (26.22, 134.88), (26.6027, 134.51), (27.0381, 134.184), (27.4409, 134.0), (27.86, 133.9), (28.2993, 133.797), (28.7509, 133.748), (29.1201, 133.762), (29.66, 133.84), (30.5953, 133.921), (31.7078, 134.118), (32.7474, 134.498), (33.82, 135.0), (34.9374, 135.476), (36.1016, 136.095), (37.2716, 136.94899999999998), (38.48, 137.98), (39.7582, 139.079), (41.0301, 140.304), (42.2014, 141.65), (43.2857, 143.071), (44.2432, 144.53), (44.9571, 145.94299999999996), (44.998000000000005, 146.878), (45.2, 147.8), (45.4132, 149.065), (45.7, 150.4), (46.2137, 151.626), (46.7, 152.8)];[(28.7509, 133.748), (29.1201, 133.762), (29.66, 133.84)];[(34.9374, 135.476), (36.1016, 136.095), (37.2716, 136.94899999999998), (43.2857, 143.071)];WP;WP;8;9;30/08/1950 3:00;05/09/1950 0:00;03/09/1950 3:00;04/09/1950 0:00;141;21;ET;Cat 4;116;940;0;31;3;1;99.82;3596.090691;2787.480021;;;;;;;;509;227;47;0.816;0.059614716;4173.5;67.79;8607.657082;0;67.66609756;2.8678781;Low;31608223.49;15591961.99;10189362.83;642117
1951224N12316;CHARLIE;JAM;1951;[(17.3398, -75.4138), (17.6, -76.2), (17.9, -76.9), (18.1, -77.8), (18.2133, -78.6276), (18.3, -79.4)];[(17.6, -76.2), (17.9, -76.9)];[(17.9, -76.9), (18.1, -77.8)];NAm;CS;8;8;17/08/1951 21:00;18/08/1951 12:00;18/08/1951 3:00;18/08/1951 6:00;15;3;TS;Cat 3;110;0;0;17;3;3;132.4;438.2146909;435.7290818;2788659;2788659;2552903;21481978182;21481978182;19483462361;56000;154;133;66.23;0.668;0.100540679;868.3;69.93;3796.219401;0;64.77;2.5783036;Low;1689243.032;1687083.39;1195051.627;20200
1951337N09150;AMY;PHL;1951;[(12.0725, 130.967), (12.1333, 130.517), (12.1752, 130.172), (12.2004, 129.861), (12.2161, 129.55100000000002), (12.2, 129.233), (12.1449, 128.878), (12.0504, 128.52200000000002), (11.9252, 128.2), (11.7833, 127.9), (11.655999999999999, 127.621), (11.5153, 127.35), (11.335999999999999, 127.092), (11.1667, 126.783), (11.0561, 126.379), (10.9629, 125.897), (10.8437, 125.364), (10.7333, 124.8), (10.6492, 124.245), (10.5867, 123.699), (10.534, 123.174), (10.5, 122.667), (10.4816, 122.164), (10.4771, 121.68), (10.4751, 121.211), (10.4833, 120.783), (10.4945, 120.409), (10.5283, 120.075), (10.5971, 119.743), (10.6833, 119.45), (10.7617, 119.202), (10.8475, 119.005), (10.9449, 118.848), (11.05, 118.717), (11.1521, 118.572), (11.2667, 118.445), (11.4133, 118.335), (11.55, 118.267), (11.6368, 118.258), (11.6987, 118.277), (11.7534, 118.276), (11.8167, 118.283), (11.9098, 118.313), (12.0287, 118.351), (12.1774, 118.382), (12.3167, 118.417), (12.4075, 118.469), (12.4683, 118.524), (12.5329, 118.585), (12.55, 118.6), (12.4855, 118.519), (12.3813, 118.395), (12.2927, 118.27), (12.2, 118.183), (12.1037, 118.196), (12.0012, 118.24), (11.8911, 118.257), (11.7833, 118.25), (11.6891, 118.221), (11.5975, 118.161), (11.4951, 118.078), (11.4, 117.95), (11.3247, 117.767), (11.2642, 117.555), (11.2103, 117.354), (11.1667, 117.15), (11.1328, 116.944), (11.1037, 116.738), (11.0852, 116.553), (11.0333, 116.333), (10.9004, 116.031), (10.7442, 115.69), (10.62, 115.349), (10.5167, 115.017), (10.4278, 114.728), (10.3673, 114.424), (10.2967, 114.058), (10.3667, 113.6)];[(11.7833, 127.9)];[(10.7333, 124.8), (10.534, 123.174), (10.6833, 119.45)];WP;WP;12;12;07/12/1951 9:00;17/12/1951 0:00;09/12/1951 12:00;11/12/1951 0:00;231;36;TS;Cat 4;120;924;0;11;4;2;119.2;2238.058669;1905.587795;20464826;12675908;5618193;1.13105E+11;1.88028E+11;48973327246;;569;64.5;75.35;0.59;0.180442234;996.3;25.68;1059.467412;0;61.105;2.757732;Low_Middle;4760039.085;3006669.962;1114773.72;60000
1952180N05144;EMMA;PHL;1952;[(9.33776, 130.185), (9.38633, 129.61), (9.45, 129.017), (9.50407, 128.407), (9.56613, 127.791), (9.63282, 127.191), (9.73333, 126.567), (9.88862, 125.868), (10.0771, 125.158), (10.2703, 124.497), (10.4667, 123.867), (10.6492, 123.239), (10.832, 122.65), (11.0212, 122.121), (11.2167, 121.633), (11.4099, 121.157), (11.622, 120.708), (11.8706, 120.286), (12.1333, 119.867), (12.3816, 119.415), (12.6333, 118.967), (12.8666, 118.552), (13.1667, 118.133), (13.5944, 117.673), (14.1219, 117.19), (14.7128, 116.706), (15.3167, 116.217), (15.8493, 115.727), (16.3727, 115.243)];[(9.45, 129.017), (9.50407, 128.407), (9.56613, 127.791), (9.63282, 127.191), (9.73333, 126.567)];[(10.4667, 123.867), (10.6492, 123.239), (10.832, 122.65), (11.0212, 122.121)];WP;WP;7;7;01/07/1952 6:00;04/07/1952 18:00;02/07/1952 12:00;02/07/1952 21:00;84;9;TS;Cat 3;110;968;0;15;3;1;110691;1876.18679;1797.712213;;;;;;;;19;66.9;72.41;0.59;0.180442234;996.3;25.68;1059.467412;0;61.105;2.757732;Low_Middle;5130795.751;2789486.06;1988523.928;103
1954278N12302;HAZEL;HTI;1954;[(16.9, -74.9), (17.1425, -74.8149), (17.4, -74.7), (17.6932, -74.4933), (18.0, -74.3), (18.3, -74.2), (18.6, -74.0), (18.8602, -73.8397), (19.1, -73.7), (19.35, -73.55), (19.6, -73.4), (19.835, -73.2275), (20.1, -73.1), (20.4487, -73.0805)];[(16.9, -74.9), (17.1425, -74.8149), (17.4, -74.7), (17.6932, -74.4933), (18.0, -74.3), (18.3, -74.2)];[(18.3, -74.2), (18.6, -74.0), (19.6, -73.4), (19.835, -73.2275)];NAm;CS;10;10;11/10/1954 18:00;13/10/1954 9:00;12/10/1954 9:00;13/10/1954 3:00;39;18;TS;Cat 3;105;0;0;7;3;3;117;442.3796288;437.172891;10396164;3570247;1234448;7214209939;21676775751;2202891517;;410;125;82.8;0.433;0.228313746;1031;63.29;993.2466563;0;41.762;1.2844422;Low_Middle;2544262.035;652867.9724;305459.827;250000
1955255N19294;HILDA;MEX;1955;[(19.1, -84.4), (19.1349, -84.9), (19.2, -85.4), (19.2924, -85.9), (19.4, -86.4), (19.4883, -86.9117), (19.6, -87.4), (19.7, -87.7), (19.75, -87.8676), (19.9, -88.4), (20.0498, -88.8638), (20.2, -89.3), (20.3499, -89.7501), (20.5, -90.2), (20.6574, -90.65), (20.8, -91.1), (20.9149, -91.5575), (21.0, -92.0), (21.0499, -92.4152), (21.1, -92.8), (21.1924, -93.1575), (21.3, -93.5), (21.3924, -93.8501), (21.5, -94.2), (21.6498, -94.5275), (21.8, -94.9), (21.915, -95.37), (22.0, -95.9), (22.0457, -96.4446), (22.1, -97.0), (22.243000000000002, -97.5265), (22.3, -97.9), (22.3, -98.1), (22.2694, -98.5415), (22.2, -98.8), (22.1073, -98.9725), (22.0, -99.1), (21.8976, -99.2801), (21.8, -99.5)];[(19.2, -85.4), (19.2924, -85.9), (19.4, -86.4), (19.4883, -86.9117), (19.6, -87.4), (19.7, -87.7), (22.1, -97.0), (22.243000000000002, -97.5265), (22.3, -97.9), (22.3, -98.1)];[(19.7, -87.7), (19.75, -87.8676), (19.9, -88.4), (20.0498, -88.8638), (20.2, -89.3), (20.3499, -89.7501), (20.5, -90.2), (22.3, -97.9), (22.3, -98.1), (22.2694, -98.5415), (22.2, -98.8), (22.1073, -98.9725), (22.0, -99.1), (21.8976, -99.2801), (21.8, -99.5)];NAm;GM;9;9;15/09/1955 18:00;20/09/1955 6:00;16/09/1955 14:00;20/09/1955 6:00;108;88;TS;Cat 3;105;952;0;11;3;3;119.1;1635.998077;1602.982576;8356553;3436347;1092040;51707772746;1.32348E+11;13485104502;;300;16.8;49.25;0.66;0.500615202;1104.9;23.69;3907.493801;0;57.077;3.0032392;Low;2707778.11;792080.0845;601982.5466;11432
1957261N12135;GLORIA;CHN;1957;[(19.7833, 117.267), (20.1733, 116.694), (20.5905, 116.077), (20.9433, 115.525), (21.9799, 113.286), (22.05, 112.9), (22.0751, 112.474), (22.1, 112.1), (22.1699, 111.836), (22.3, 111.7), (22.525, 111.684), (22.75, 111.75), (22.8425, 111.821), (22.95, 111.9), (23.2323, 111.909), (23.5, 112.0), (23.5952, 112.305), (23.6571, 112.757), (23.6915, 113.216), (23.625, 113.7), (23.463, 114.485), (23.2, 115.0)];[(19.7833, 117.267), (20.1733, 116.694), (20.5905, 116.077), (20.9433, 115.525)];[(22.05, 112.9), (22.0751, 112.474), (22.1, 112.1), (22.1699, 111.836), (22.3, 111.7), (22.525, 111.684), (22.75, 111.75), (22.8425, 111.821), (22.95, 111.9), (23.2323, 111.909), (23.5, 112.0), (23.5952, 112.305), (23.6571, 112.757), (23.6915, 113.216), (23.625, 113.7), (23.463, 114.485), (23.2, 115.0)];WP;WP;9;9;21/09/1957 12:00;24/09/1957 18:00;22/09/1957 18:00;24/09/1957 18:00;78;48;TS;Cat 2;87;970;0;14;1;-1;61.8;1112.165234;445.2875218;8148473;0;0;0;1.22602E+12;0;;8;67;87.5;0.501;0.155376857;1192.7;13.36;192.2850582;0;43.725;1.6102769;Low;45478788.86;10147124.62;3924848.528;111
1959263N11160;VERA;JPN;1959;[(22.8131, 137.697), (23.3064, 137.247), (23.7982, 136.812), (24.3, 136.417), (24.7843, 136.066), (25.316999999999997, 135.78), (25.9324, 135.565), (26.6333, 135.36700000000002), (27.3841, 135.056), (28.2068, 134.805), (29.0652, 134.72799999999998), (30.0167, 134.8), (31.0327, 134.91899999999998), (32.2237, 135.215), (33.6339, 135.695), (35.2, 136.467), (36.8856, 137.559), (38.471, 138.915), (39.6998, 140.297), (40.64, 141.88), (41.538999999999994, 143.789), (42.2941, 145.888), (43.0, 150.0), (42.883, 152.001), (42.6, 154.0)];[(22.8131, 137.697), (23.3064, 137.247), (23.7982, 136.812), (24.3, 136.417), (24.7843, 136.066), (25.316999999999997, 135.78), (25.9324, 135.565), (26.6333, 135.36700000000002)];[(33.6339, 135.695), (35.2, 136.467), (36.8856, 137.559), (39.6998, 140.297)];WP;WP;9;9;24/09/1959 15:00;27/09/1959 18:00;26/09/1959 9:00;26/09/1959 21:00;75;12;TS;Cat 5;155;900;0;38;-1;-1;155.3;3309.864428;2663.678886;59148872;37883958;11097297;4.48452E+12;7.23628E+12;1.36835E+12;600000;5098;255;37.73;0.816;0.059614716;4173.5;67.79;8607.657082;0;67.66609756;2.8678781;Low;35976037.45;32676164.16;11490279.24;1500000
1960154N17116;MARY;CHN;1960;[(16.1679, 112.189), (16.3367, 112.085), (16.4833, 112.033), (16.5797, 112.016), (16.6537, 112.037), (16.7396, 112.08), (16.8167, 112.133), (16.8651, 112.163), (16.925, 112.196), (17.0341, 112.244), (17.1667, 112.317), (17.3001, 112.422), (17.4321, 112.545), (17.5468, 112.661), (17.6667, 112.783), (17.8049, 112.919), (17.9542, 113.048), (18.0922, 113.147), (18.2667, 113.233), (18.5071, 113.327), (18.8017, 113.419), (19.1209, 113.514), (19.4833, 113.6), (19.9066, 113.678), (20.3216, 113.724), (20.6546, 113.711), (20.9333, 113.683), (21.1801, 113.682), (21.4075, 113.7), (21.6457, 113.745), (22.5618, 113.938), (22.8333, 114.1), (23.2025, 114.374), (23.6299, 114.747), (24.0535, 115.13), (24.5167, 115.667), (25.0409, 116.435), (25.57, 117.359), (26.0206, 118.285), (26.4833, 119.317), (27.0356, 120.518), (27.6185, 121.772), (28.2026, 122.927), (28.7333, 124.05), (29.1774, 125.169)];[(16.6537, 112.037), (16.7396, 112.08), (16.8167, 112.133), (16.8651, 112.163), (16.925, 112.196), (17.0341, 112.244), (17.1667, 112.317), (17.3001, 112.422), (17.4321, 112.545), (17.5468, 112.661), (17.6667, 112.783), (17.8049, 112.919), (17.9542, 113.048), (18.0922, 113.147), (18.2667, 113.233)];[(22.5618, 113.938), (22.8333, 114.1), (23.2025, 114.374), (23.6299, 114.747), (24.0535, 115.13), (24.5167, 115.667), (25.0409, 116.435), (25.57, 117.359), (26.0206, 118.285), (26.4833, 119.317)];WP;WP;6;6;04/06/1960 18:00;10/06/1960 15:00;08/06/1960 21:00;10/06/1960 0:00;141;27;TS;Cat 2;87;970;0;25;1;1;90.4;2121.2791;1960.156187;8148473;8148473;0;1.22602E+12;1.22602E+12;0;;45;70.1;83.8;0.501;0.155376857;1192.7;13.36;192.2850582;0;43.725;1.6102769;Low;61347249.42;23114069.11;11851533.08;15127
